Id	Name	IsClose	Rate	RewardItem1	RewardItem2	RewardItem3
1	name_1	0	0.1	1001	2001	3001
2	name_2	1	0.2	1002	2002	3002
3	name_3	2	0.3	1003	2003	3003
4	name_4	3	0.4	1004	2004	3004
5	name_5	4	0.5	1005	2005	3005
6	name_6	5	0.6	1006	2006	3006
7	name_7	6	0.7	1007	2007	3007
8	name_8	7	0.8	1008	2008	3008
9	name_9	8	0.9	1009	2009	3009
10	name_10	9	1	1010	2010	3010
11	name_11	10	1.1	1011	2011	3011
12	name_12	11	1.2	1012	2012	3012
13	name_13	12	1.3	1013	2013	3013
14	name_14	13	1.4	1014	2014	3014
15	name_15	14	1.5	1015	2015	3015
16	name_16	15	1.6	1016	2016	3016
17	name_17	16	1.7	1017	2017	3017
18	name_18	17	1.8	1018	2018	3018
19	name_19	18	1.9	1019	2019	3019
20	name_20	19	2	1020	2020	3020
